user_ID,total_messages,profane_messages,avg_angry_score,avg_happy_score,avg_sad_score,avg_surprised_score,avg_fear_score
Selene,7,0,0.012857143,0.038571429,0.097142857,0.251428571,0.455714286
,,,,,,,
Renna,7,0,0.11,0.044285714,0.057142857,0.181428571,0.462857143
,,,,,,,
Chuck,49,0,0.043469388,0.071020408,0.205306122,0.096938776,0.419183673
,,,,,,,
Leida,204,0,0.039019608,0.055,0.146372549,0.136617647,0.372745098
,,,,,,,
Cherilyn,5,1,0,0,0.466,0.066,0.466
,,,,,,,
Magdalena,8,0,0.025,0.04125,0.19125,0.2325,0.3825
,,,,,,,
Refugio,5,0,0,0.05,0.066,0.182,0.3
,,,,,,,
Beverley,1,0,0,0,0.33,0,0.67
,,,,,,,
Riva,11,0,0.015454545,0.120909091,0.136363636,0.045454545,0.319090909
,,,,,,,
Elene,12,0,0.0075,0.100833333,0.228333333,0.328333333,0.250833333
,,,,,,,
Jacelyn,9,0,0.097777778,0.036666667,0.077777778,0.203333333,0.25
,,,,,,,
Randal,11,0,0.009090909,0.024545455,0.207272727,0.317272727,0.35
,,,,,,,
Harris,7,0,0,0.215714286,0.072857143,0.327142857,0.382857143
,,,,,,,
Francesca,2,0,0,0,0.67,0,0.33
,,,,,,,
Sparkle,22,1,0.073181818,0.075909091,0.143636364,0.066818182,0.276363636
,,,,,,,
Tasia,2,0,0,0,0.25,0,0.25
,,,,,,,
Devin,24,0,0.0775,0.065833333,0.137916667,0.170833333,0.380833333
,,,,,,,
Ellen,5,0,0,0.5,0.1,0,0
,,,,,,,
Doretha,16,0,0,0.0625,0.145625,0.104375,0.25
,,,,,,,
Cleotilde,2,0,0,0,0,0,0.5
,,,,,,,
Faith,4,0,0.0425,0.0925,0.2575,0.2075,0.15
,,,,,,,
Charlyn,1,0,0,0,0.5,0,0.5
,,,,,,,
Monika,6,0,0.028333333,0.186666667,0.408333333,0.083333333,0.125
,,,,,,,
Dara,1,0,0,0,0,0.33,0.67
,,,,,,,
Ula,2,0,0,0,0.1,0.6,0.3
,,,,,,,
Shamika,1,0,0,0.33,0,0,0.67
,,,,,,,
Lamonica,3,0,0,0.333333333,0.333333333,0.333333333,0
,,,,,,,
Franklin,4,0,0,0.375,0.125,0,0.25
,,,,,,,
Brady,1,0,0,0.17,0.33,0.5,0
,,,,,,,
Micki,51,0,0.059411765,0.003137255,0.295490196,0.116862745,0.425882353
,,,,,,,
Sandy,4,0,0,0,0.3125,0.1875,0.25
,,,,,,,
Zella,7,0,0,0,0.095714286,0.19,0.428571429
,,,,,,,
Geneva,12,0,0,0.104166667,0.264166667,0.3125,0.1525
,,,,,,,
Agustina,13,0,0,0.076153846,0.140769231,0.196923077,0.354615385
,,,,,,,
Britt,2,0,0.085,0.085,0.415,0.335,0.085
,,,,,,,
Gayla,2,0,0.025,0.095,0.22,0.065,0.59
,,,,,,,
Zoraida,1,0,0,0,1,0,0
,,,,,,,
Lizbeth,6,0,0.02,0.096666667,0.108333333,0.188333333,0.246666667
,,,,,,,
Necole,12,0,0.083333333,0,0.208333333,0.041666667,0.333333333
,,,,,,,
Lashawnda,8,0,0,0.0625,0.39,0.2175,0.2025
,,,,,,,
Viviana,24,0,0.01375,0,0.455,0.065833333,0.29875
,,,,,,,
Bea,2,0,0.025,0.025,0.08,0.13,0.735
,,,,,,,
Theresia,2,0,0.165,0,0.665,0.165,0
,,,,,,,
Lanette,1,0,0,0,0,0,0
,,,,,,,
Kali,2,0,0,0,0.375,0.125,0
,,,,,,,
Brittny,9,0,0,0.055555556,0.055555556,0.277777778,0.166666667
,,,,,,,
Marget,1,0,0,0,0,0,0
,,,,,,,
Vernell,1,0,0,0,0,0,0
,,,,,,,
Judi,1,0,0,0,0,0,0
,,,,,,,
Waldo,53,1,0.010943396,0.096226415,0.183018868,0.148679245,0.333962264
,,,,,,,
Carrie,21,0,0.146666667,0,0.218571429,0.146666667,0.25
,,,,,,,
Miguel,1,0,0.25,0,0.25,0.25,0.25
,,,,,,,
Vanita,30,0,0.026666667,0.124333333,0.126,0.160333333,0.328666667
,,,,,,,
Kayleen,1,0,0,0,0,0,1
,,,,,,,
Ervin,1,0,0,0,0,0,0
,,,,,,,
Paulette,1,0,0,0.11,0.67,0.22,0
,,,,,,,
Sha,4,0,0.625,0,0.375,0,0
,,,,,,,
Tanisha,6,0,0,0.11,0.331666667,0.11,0.11
,,,,,,,
Rosaura,1,0,0,0,0,0,0
,,,,,,,
Nicolas,1,0,0,0,0,1,0
,,,,,,,
Lawrence,60,0,0.039333333,0.1315,0.172166667,0.095,0.294666667
,,,,,,,
Royce,2,0,0,0.375,0,0.44,0.19
,,,,,,,
Dagny,2,0,0,0,0,0,1
,,,,,,,
Nigel,32,0,0.016875,0.0515625,0.16375,0.1375,0.3803125
,,,,,,,
Emelina,4,0,0,0,0.1075,0.1975,0.6975
,,,,,,,
Sherill,2,0,0,0,0,0.25,0.25
,,,,,,,
Molly,1,0,0.25,0,0,0,0.75
,,,,,,,
Moira,2,0,0,0,0.165,0.065,0.265
,,,,,,,
Kristine,50,0,0.0222,0.0882,0.1434,0.1594,0.5068
,,,,,,,
Carolin,1,0,0,0.5,0,0,0.5
,,,,,,,
Tabetha,9,0,0.018888889,0,0.175555556,0.277777778,0.194444444
,,,,,,,
Nathanial,1,0,0,0,0,0,1
,,,,,,,
Teodora,4,0,0,0.0725,0.125,0.035,0.5175
,,,,,,,
Camelia,1,0,0,0,0.17,0.33,0.5
,,,,,,,
Lanny,16,0,0.04,0,0.160625,0.186875,0.424375
,,,,,,,
Candyce,1,0,0,0,0.67,0.33,0
,,,,,,,
Pierre,2,0,0,0,0.25,0,0.75
,,,,,,,
Darius,2,0,0,0,0,0,0
,,,,,,,
Francisco,2,0,0,0,0,0,0.5
,,,,,,,
Hassie,15,0,0,0,0.238,0.038666667,0.323333333
,,,,,,,
Colton,6,0,0,0,0,0,0.166666667
,,,,,,,
Ted,17,0,0,0.024705882,0.138235294,0.233529412,0.485294118
,,,,,,,
Greg,6,0,0,0.033333333,0.15,0.083333333,0.233333333
,,,,,,,
Genaro,23,0,0,0.050869565,0.230434783,0.179565217,0.32173913
,,,,,,,
Fredric,9,0,0.026666667,0.006666667,0.272222222,0.304444444,0.276666667
,,,,,,,
Yasmin,3,0,0,0.39,0.276666667,0.126666667,0.206666667
,,,,,,,
Otha,1,0,0,0,0.5,0,0.5
,,,,,,,
Lashay,9,0,0.02,0.156666667,0.127777778,0.11,0.362222222
,,,,,,,
Rubi,3,0,0.066666667,0.11,0.21,0,0.613333333
,,,,,,,
Alise,10,0,0,0.095,0.13,0.213,0.46
,,,,,,,
Deangelo,80,1,0.038625,0.055375,0.13375,0.207875,0.3015
,,,,,,,
Concha,4,0,0,0,0.3625,0.1875,0.4475
,,,,,,,
Tisa,2,0,0,0.125,0,0.5,0.375
,,,,,,,
Ashleigh,3,0,0.166666667,0,0,0,0.166666667
,,,,,,,
Aimee,1,0,0,0,0,0.2,0.8
,,,,,,,
Dung,1,0,0,0,0,0,0
,,,,,,,
Autumn,2,0,0,0,0.335,0.5,0.165
,,,,,,,
Roselyn,2,0,0,0,0.3,0.1,0.1
,,,,,,,
Johanne,3,0,0,0.18,0.046666667,0.096666667,0.68
,,,,,,,
Stacia,4,0,0,0.125,0.3525,0.02,0.25
,,,,,,,
Shawana,64,1,0.03890625,0.04671875,0.19125,0.155,0.27125
,,,,,,,
Kera,4,0,0,0,0.125,0.5625,0.0625
,,,,,,,
Edwardo,1,0,0,0,0.33,0.33,0.33
,,,,,,,
Francie,2,0,0.04,0.04,0.315,0.145,0.46
,,,,,,,
Angele,26,0,0.014230769,0.026923077,0.210384615,0.268076923,0.326153846
,,,,,,,
Chieko,3,0,0,0,0.276666667,0.056666667,0.666666667
,,,,,,,
Aracelis,41,0,0,0,0.345365854,0.134146341,0.252195122
,,,,,,,
Wilber,13,0,0.038461538,0.105384615,0.230769231,0.147692308,0.400769231
,,,,,,,
Bonita,2,0,0,0,0.25,0.25,0
,,,,,,,
Reinaldo,11,0,0,0.010909091,0.153636364,0.223636364,0.429090909
,,,,,,,
Bob,4,0,0,0.055,0,0.0275,0.4175
,,,,,,,
Jeanetta,2,0,0,0,0,0.25,0.25
,,,,,,,
Chet,5,0,0,0,0.066,0.466,0.066
,,,,,,,
Deon,36,1,0.013888889,0.009166667,0.224444444,0.083333333,0.28
,,,,,,,
Elvia,1,0,0,0.5,0,0.5,0
,,,,,,,
Ji,12,2,0.024166667,0.0075,0.0625,0.195,0.460833333
,,,,,,,
Raguel,75,0,0.031066667,0.0488,0.246533333,0.113466667,0.306133333
,,,,,,,
Sherlyn,1,0,0.2,0,0.3,0.3,0.2
,,,,,,,
Russ,20,0,0.0515,0.0965,0.2165,0.1965,0.2885
,,,,,,,
Lorinda,20,0,0.061,0.0455,0.1525,0.2125,0.328
,,,,,,,
